Paraula,Anotacio_Fonetica
"18","EIG tin"
"28","tuenti eit"
"34","CE ri FO"
"35","CE ri faif"
"50","FIF ti"
"uab","IU EI BI"
"research","RI serch"
"funded","FAN ded"
"live","LA if"
"mediated","MI die ded"
"algorithms","AL go ri dems"
"deciding","di SAI ding"
"our","Aar"
"automated","A ro mei red"
"curators","KIU rei tors"
"theoretical","ZI o re ti cal"
"enhance","en JEens"
"efficiently","e FI xien li"
"amidst","a MITS"
"overabundance","over a BAN dens"
"revaluing","ri VA luing"
"restricts","ris TRECS"
"echoing","E coing"
"the","di"
"discoverability","dis CO vera BI li ri"
"curation","KIU rei xon"
"adrift","a DREFT"
"developed","de VE lop"
"thrilled","TRI il"
"within","güi DEN"
"explores","ex PLO ors"
"negotiate","ne GO xi eit"
"autonomy","au TO no mi"
"society","so SAI a di"
"viewing","BI uing"
"audiences","O dien ses"
"receivers","re CI vers"
"consumption","com SAM xon"
"mutual","MI xual"
"parallel","Pe ra lal"
"movement","MUF ment"
"routines","ru TINS"
"simultaneously","SAI mul TEI nius li"
"opaque","O peik"
"accordingly","a CO ring li"
"conducted","con DAC tet"
"structured","s TRAC xur"
"analyzing","E na lai sing"
"fluid","FLU ed"
"dynamically","dai NE mec li"
"phases","FEI ses"
"mapped","ME apt"
"typology","te PO lo gi"
"distinct","dis TINC"
"acceptance","ec CEP tens"
"consume","con SIUM"
"uncritically","en CRI ti ca li"
"autopilot","a to PAI lot"
"interviewees","IN ter viu IS"
"noting","No ring"
"conscious","CON xes"
"even","I ven"
"selective","se LEC tif"
"slightly","s LAI li"
"algorithm","AL go ri dem"
"ensure","en XER"
"comfortable","COMF ta bol"
"moving","MU ving"
"actively","AC ti bli"
"results","ri SOLTS"
"aligned","a LA in"
"essentially","e SEN xa li"
"engines","EN gens"
"journey","JOo ni"
"evasion","i BEI xon"
"momentarily","MO men TE reli"
"systematically","SIS te MA ti ca li"
"imdb","Ai EM DI BI"
"committing","co MI ring"
"identify","ai DEN ti fai"
"biases","BAI a ses"
"ideological","ai dio LO gi cal"
"negotiating","ne GO xi - E ring"
"trust","TRAST"
"highest","JAI est"
"independently","in de PEN dent li"
"rely","re LAI"
"ecosystem","Í co sis tem"
"strategic","s tra TI gec"
"chose","chous"
"entirely","en TAI rali"
"tastes","TE ists"
"profound","pro FA und"
"sovereignty","SO ber di"
"journeys","JO onis"
"coalesce","KO las"
"dynamic","dai NE mic"
"steer","s TIIR"
"occasionally","e Ke xio nali"
"alleyway","A li wei"
"catches","CA ches"
"convenience","con VI niens"
"sovereigns","SO be rens"
"these","DI is"
"critical","CRI ri cal"
"independence","in de PEN dens"
"trace","TRE is"
"prioritize","Prai O ra tais"
"specialized","s PE si lais"
"mutually","MIU xua li"
"sovereign","SO ber en"
"revert","re VERT"
"doomscrolling","DIUMS cro ling"
"requires","re CUA iers"
"literacy","LI re ra si"
"challenge","CHA lench"
"transformed","TRANS form"
"academic","A ca DE mic"
"societal","so SAI e tal"
"purpose","PAR pes"
"begin","be GEN"
"identifying","ai DEN ti fai"
"tailored","TEI lort"
"scenarios","se NE ri ous"
"taste","TE ist"
"inertia","e NER xia"
"catalogs","KA ra locs"
"find","Fain"
"based","Beist"
"personalized","PER so na lais"
"guided","GAI ded"
"delegated","DE le gei red"
"reveals","ri BI ils"
"strengths","s TRENS"
"diagnose","DAIC nous"
"actionable","AC xio na bol"
"advises","ed BAI ses"
"menu","ME niu"
"use","i US"
"genres","JA ne res"
"encourages","en CO ra xes"
"pushes","PU shes"
"heavily","JE ve li"
"solely","SO li"
"brochure","BRO xer"
"enacted","e NAC tet"
"affordances","a FOR dan ses"
"awareness","a GÜER nes"
"study","s TA di"
"conducting","con DAC ting"
"fascinating","FAS si nei ring"
"agency","E gen si"
